feature,threshold,precision,recall,f1,TPR,FPR,TNR,FNR,specificity,accuracy
degree_centrality_nx,0.00030500685399681285,0.008741804558226662,0.7777777777777778,0.017289286816918797,0.7777777777777778,0.6396051571313457,0.3603948428686543,0.2222222222222222,0.3603948428686543,0.3634
degree_centrality_nx,0.0003267613457666001,0.009180327868852459,0.7777777777777778,0.01814646791963707,0.7777777777777778,0.6087832393231265,0.3912167606768735,0.2222222222222222,0.3912167606768735,0.394
degree_centrality_nx,0.00034851583753638734,0.009469056476158269,0.7777777777777778,0.018710324089542266,0.7777777777777778,0.5900483481063659,0.40995165189363414,0.2222222222222222,0.40995165189363414,0.4126
degree_centrality_nx,0.0003702703293061746,0.0099361249112846,0.7777777777777778,0.019621583742116328,0.7777777777777778,0.5620467365028203,0.43795326349717967,0.2222222222222222,0.43795326349717967,0.4404
degree_centrality_nx,0.0003920248210759617,0.010358860525342212,0.7777777777777778,0.020445418035779483,0.7777777777777778,0.5388799355358582,0.46112006446414183,0.2222222222222222,0.46112006446414183,0.4634
degree_centrality_nx,0.00041377931284574895,0.011041009463722398,0.7777777777777778,0.02177293934681182,0.7777777777777778,0.5052377115229654,0.49476228847703463,0.2222222222222222,0.49476228847703463,0.4968
degree_centrality_nx,0.0004355338046155362,0.011447260834014717,0.7777777777777778,0.022562449637389202,0.7777777777777778,0.4871071716357776,0.5128928283642225,0.2222222222222222,0.5128928283642225,0.5148
degree_centrality_nx,0.0004572882963853233,0.011612903225806452,0.75,0.02287166454891995,0.75,0.4629331184528606,0.5370668815471394,0.25,0.5370668815471394,0.5386
degree_centrality_nx,0.00047904278815511056,0.01154016866400355,0.7222222222222222,0.022717343818261248,0.7222222222222222,0.4486301369863014,0.5513698630136986,0.2777777777777778,0.5513698630136986,0.5526
degree_centrality_nx,0.0005007972799248978,0.011536686663590217,0.6944444444444444,0.022696323195642305,0.6944444444444444,0.4315068493150685,0.5684931506849316,0.3055555555555556,0.5684931506849316,0.5694
degree_centrality_nx,0.000522551771694685,0.011764705882352941,0.6666666666666666,0.023121387283236997,0.6666666666666666,0.40612409347300565,0.5938759065269944,0.3333333333333333,0.5938759065269944,0.5944
degree_centrality_nx,0.0005443062634644723,0.012170385395537525,0.6666666666666666,0.023904382470119525,0.6666666666666666,0.39242546333601935,0.6075745366639806,0.3333333333333333,0.6075745366639806,0.608
degree_centrality_nx,0.0005660607552342594,0.012868632707774798,0.6666666666666666,0.02524986849026828,0.6666666666666666,0.370870265914585,0.629129734085415,0.3333333333333333,0.629129734085415,0.6294
degree_centrality_nx,0.0005878152470040467,0.01271420674405749,0.6388888888888888,0.024932249322493223,0.6388888888888888,0.3597904915390814,0.6402095084609186,0.3611111111111111,0.6402095084609186,0.6402
degree_centrality_nx,0.0006095697387738339,0.0132641291810842,0.6388888888888888,0.025988700564971753,0.6388888888888888,0.34468170829975825,0.6553182917002417,0.3611111111111111,0.6553182917002417,0.6552
degree_centrality_nx,0.000631324230543621,0.013674197384066587,0.6388888888888888,0.02677532013969732,0.6388888888888888,0.33420628525382756,0.6657937147461724,0.3611111111111111,0.6657937147461724,0.6656
degree_centrality_nx,0.0006530787223134083,0.014348097317529632,0.6388888888888888,0.02806589383770592,0.6388888888888888,0.3182917002417405,0.6817082997582594,0.3611111111111111,0.6817082997582594,0.6814
degree_centrality_nx,0.0006748332140831955,0.014781491002570694,0.6388888888888888,0.02889447236180905,0.6388888888888888,0.3088235294117647,0.6911764705882353,0.3611111111111111,0.6911764705882353,0.6908
degree_centrality_nx,0.0006965877058529828,0.015656909462219197,0.6388888888888888,0.030564784053156147,0.6388888888888888,0.2912973408541499,0.7087026591458501,0.3611111111111111,0.7087026591458501,0.7082
degree_centrality_nx,0.0007183421976227699,0.016242937853107344,0.6388888888888888,0.03168044077134986,0.6388888888888888,0.2806204673650282,0.7193795326349718,0.3611111111111111,0.7193795326349718,0.7188
degree_centrality_nx,0.0007400966893925571,0.01634472511144131,0.6111111111111112,0.03183791606367583,0.6111111111111112,0.26672038678485094,0.7332796132151491,0.3888888888888889,0.7332796132151491,0.7324
degree_centrality_nx,0.0007618511811623444,0.017014694508894045,0.6111111111111112,0.03310759969902182,0.6111111111111112,0.2560435132957293,0.7439564867042707,0.3888888888888889,0.7439564867042707,0.743
degree_centrality_nx,0.0007836056729321315,0.017770597738287562,0.6111111111111112,0.03453689167974883,0.6111111111111112,0.24496373892022563,0.7550362610797744,0.3888888888888889,0.7550362610797744,0.754
degree_centrality_nx,0.0008053601647019187,0.017558528428093644,0.5833333333333334,0.03409090909090909,0.5833333333333334,0.23670427074939565,0.7632957292506044,0.4166666666666667,0.7632957292506044,0.762
degree_centrality_nx,0.000827114656471706,0.018534863195057368,0.5833333333333334,0.03592814371257485,0.5833333333333334,0.22401289282836423,0.7759871071716358,0.4166666666666667,0.7759871071716358,0.7746
degree_centrality_nx,0.0008488691482414932,0.019230769230769232,0.5833333333333334,0.03723404255319149,0.5833333333333334,0.21575342465753425,0.7842465753424658,0.4166666666666667,0.7842465753424658,0.7828
degree_centrality_nx,0.0008706236400112804,0.01921229586935639,0.5555555555555556,0.037140204271123495,0.5555555555555556,0.20568090249798548,0.7943190975020145,0.4444444444444444,0.7943190975020145,0.7926
degree_centrality_nx,0.0008923781317810676,0.01901901901901902,0.5277777777777778,0.03671497584541063,0.5277777777777778,0.19742143432715553,0.8025785656728445,0.4722222222222222,0.8025785656728445,0.8006
degree_centrality_nx,0.0009141326235508548,0.018461538461538463,0.5,0.035608308605341255,0.5,0.1927880741337631,0.8072119258662369,0.5,0.8072119258662369,0.805
degree_centrality_nx,0.000935887115320642,0.01945945945945946,0.5,0.037460978147762745,0.5,0.18271555197421435,0.8172844480257857,0.5,0.8172844480257857,0.815
degree_centrality_nx,0.0009576416070904292,0.01675977653631285,0.4166666666666667,0.0322234156820623,0.4166666666666667,0.177276390008058,0.8227236099919419,0.5833333333333334,0.8227236099919419,0.8198
degree_centrality_nx,0.0009793960988602165,0.016412661195779603,0.3888888888888889,0.031496062992125984,0.3888888888888889,0.16901692183722805,0.830983078162772,0.6111111111111112,0.830983078162772,0.8278
degree_centrality_nx,0.0010011505906300036,0.016867469879518072,0.3888888888888889,0.03233256351039261,0.3888888888888889,0.1643835616438356,0.8356164383561644,0.6111111111111112,0.8356164383561644,0.8324
degree_centrality_nx,0.0010229050823997907,0.017412935323383085,0.3888888888888889,0.03333333333333334,0.3888888888888889,0.15914585012087026,0.8408541498791298,0.6111111111111112,0.8408541498791298,0.8376
degree_centrality_nx,0.001044659574169578,0.016476552598225603,0.3611111111111111,0.03151515151515152,0.3611111111111111,0.1563255439161966,0.8436744560838034,0.6388888888888888,0.8436744560838034,0.8402
degree_centrality_nx,0.0010664140659393652,0.017173051519154558,0.3611111111111111,0.03278688524590164,0.3611111111111111,0.1498791297340854,0.8501208702659145,0.6388888888888888,0.8501208702659145,0.8466
degree_centrality_nx,0.0010881685577091523,0.015130674002751032,0.3055555555555556,0.02883355176933159,0.3055555555555556,0.1442385173247381,0.8557614826752619,0.6944444444444444,0.8557614826752619,0.8518
degree_centrality_nx,0.0011099230494789397,0.01447178002894356,0.2777777777777778,0.027510316368638234,0.2777777777777778,0.13718775181305398,0.862812248186946,0.7222222222222222,0.862812248186946,0.8586
degree_centrality_nx,0.0011316775412487268,0.01347305389221557,0.25,0.025568181818181816,0.25,0.13275584206285254,0.8672441579371475,0.75,0.8672441579371475,0.8628
degree_centrality_nx,0.001153432033018514,0.012461059190031152,0.2222222222222222,0.02359882005899705,0.2222222222222222,0.12771958098307817,0.8722804190169219,0.7777777777777778,0.8722804190169219,0.8676
degree_centrality_nx,0.0011751865247883013,0.012944983818770227,0.2222222222222222,0.024464831804281346,0.2222222222222222,0.12288477034649477,0.8771152296535052,0.7777777777777778,0.8771152296535052,0.8724
degree_centrality_nx,0.0011969410165580884,0.010309278350515464,0.16666666666666666,0.01941747572815534,0.16666666666666666,0.11603545527800162,0.8839645447219984,0.8333333333333334,0.8839645447219984,0.8788
